Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2904508,2024-05-08T00:00:00Z,Texas,San Antonio,6708 Windsor Hollow Dr,1,4,0,0,0
2902327,2024-05-06T00:00:00Z,Indiana,Fort Wayne,Hanna Street and E Rudisill Blvd,0,4,0,0,0
2900406,2024-05-05T00:00:00Z,Alabama,Birmingham,800 3rd Avenue W,1,6,0,0,2
2900481,2024-05-05T00:00:00Z,Alabama,Tuscaloosa,1300 58th Street E,1,3,0,0,1
2901278,2024-05-05T00:00:00Z,Alabama,Huntsville,708 Poplar Avenue Northwest,0,5,0,0,1
2902726,2024-05-05T00:00:00Z,New Mexico,Gallup,1500 S 2nd Street,2,2,0,0,0
2899844,2024-05-04T00:00:00Z,New York,Corona,108-11 Atlantic Avenuenue,1,3,0,0,0
2900308,2024-05-04T00:00:00Z,California,Long Beach,2688 E South Street,0,7,0,0,0
2900165,2024-05-04T00:00:00Z,New York,Buffalo,1490 Jefferson Avenue,1,5,0,0,0
2899989,2024-05-04T00:00:00Z,Tennessee,Memphis,3562 Kirby Pkwy,1,3,0,0,0
2900213,2024-05-04T00:00:00Z,Pennsylvania,Philadelphia,1007 S 51st Street,1,3,0,0,0
2899834,2024-05-03T00:00:00Z,New York,Westbury,Pepperidge Road and Eastfield Road,0,6,0,0,0
2931805,2024-05-03T00:00:00Z,Texas,Houston,6800 Cullen Blvd,0,4,0,0,6
2899180,2024-05-02T00:00:00Z,Virginia,Richmond,3800 Delmont Street,1,3,0,0,0
2898126,2024-05-01T00:00:00Z,Michigan,Detroit,Faust Avenue and Westfield Avenue,0,4,0,0,1
